,epoch,loss,lr
0,0,62.788410304587295,0.0001
1,1,47.25517681277021,0.0001
2,2,47.92057611083941,0.0001
3,3,62.02507419765307,0.0001
4,4,88.33214624726068,0.0001
5,5,61.28495499967925,1e-05
6,6,64.25565073168823,1e-05
7,7,63.78405584686911,1e-05
8,8,69.14613290094613,1e-05
9,9,74.95512881323081,1.0000000000000002e-06
